Library,Commit,Date,PR/Issue,Violation,Root Cause,Impact,Action,condition,Fixing pattern,Fixing element,,,
pytorch,https://github.com/pytorch/pytorch/commit/86fb522acdd11f8caf5f4b0e0f3269ca515745c5,2020-03-11 20:36:03,,missing,device availability,crash,add,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/157d478a30f27fd9d866c1235841721a559c8d0b,2022-06-05 19:10:55,1,missing,tensor shape mismatch,crash,add,if checker,axis parameter matches tensor dimension,tensor shape,,,
pytorch,https://github.com/pytorch/pytorch/commit/c1384ef99e7a0d8a439df8972532fe4f155a5683,2017-07-18 22:08:49,0,missing,tensor shape mismatch,crash,add,if checker,axis parameter matches tensor dimension,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/f14887a63f83b931df9fc5d841c7d3829141ff58,2018-06-18 23:16:34,,missing,tensor shape mismatch,crash,add,if checker,tensor shape is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/02e2158e754bafda46e663052c838aeb6ab6b560,2023-12-28 17:09:03,1,missing,out of bound access,crash,add,macro checker,others,tensor stack,,,
pytorch,https://github.com/pytorch/pytorch/commit/4d07428edee863e7f5920f0672957a9711a9f0b5,2023-11-21 20:05:42,1,missing,out of bound access,crash,add,macro checker,others,input size,,,
pytorch,https://github.com/pytorch/pytorch/commit/b3ace213f240dc0f0f2a738f825f46e0d0dffca4,2023-06-23 20:49:14,,missing,out of bound access,crash,add,macro checker,others,,,,
pytorch,https://github.com/pytorch/pytorch/commit/d8466964b348b6172317f70b8e52de02402bad54,2022-11-15 15:35:51,,missing,out of bound access,crash,add,if checker,axis parameter matches tensor dimension,,,,
pytorch,https://github.com/pytorch/pytorch/commit/c22ac14969a863a00b5ebb04a3453610c7a27713,2021-06-02 15:28:54,,missing,out of bound access,crash,add,macro checker,tensor dimension is valid,upper boundary on border element,,,
pytorch,https://github.com/pytorch/pytorch/commit/43f810fa96a0d2c40387c8c84f710926d9ede3c1,2021-03-02 13:58:10,,missing,out of bound access,crash,update,if checker,tensor dimension is valid,cuda stream,,,
pytorch,https://github.com/pytorch/pytorch/commit/f548946363ae8d2875b345b58c71b057f628cd1e,2020-04-15 23:40:59,,missing,out of bound access,crash,update,checker api,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/b7bb34d7625d95e5088638721dcc07c2bc5e2ade,2022-05-24 18:28:16,,missing,platform compability,version incompatibility,add,if checker,others,MPS,,,
pytorch,https://github.com/pytorch/pytorch/commit/b1f08e7426a56a323e6928365918093b65aa4fb6,2020-03-30 16:13:17,,missing,device availability,performance bug,add,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/53953316444485c8ee250022988ef87778ae1352,2024-01-03 20:56:44,1,missing,others,performance bug,add,checker api,others,python initialization,,,
pytorch,https://github.com/pytorch/pytorch/commit/8269c4f3d30ad950a873d900f7de0880cdd38878,2020-03-04 14:10:53,1,missing,null pointer dereference,segmentation fault,add,if checker,object is not null,object,,,
pytorch,https://github.com/pytorch/pytorch/commit/13121598efc7d86cb7ae6e05322bb95c1d0f16bc,2021-02-25 11:44:30,,missing,null pointer dereference,crash,add,if checker,object is not null,,,,
pytorch,https://github.com/pytorch/pytorch/commit/e8e29690ef0306da25b5f191623476001d29a18b,2017-11-10 6:24:49,,missing,null pointer dereference,crash,add,macro checker,object is not null,,,,
pytorch,https://github.com/pytorch/pytorch/commit/eed22921237eb4c1f4399af177ce912147a885c3,2017-08-31 13:48:57,,missing,null pointer dereference,crash,add,if checker,object is not null,nullptr,,,
pytorch,https://github.com/pytorch/pytorch/commit/1f83d8eec25c7339bd3e2862baf9b389e6a738a4,2021-05-11 19:30:45,,missing,null pointer dereference,crash,add,if checker,object is not null,nullptr,,,
pytorch,https://github.com/pytorch/pytorch/commit/d471eaeb1d2fbc7efcde6408d7d1e513b969af25,2023-09-05 20:02:42,1,missing,null pointer dereference,crash,add,if checker,object is not null,buffer,,,
pytorch,https://github.com/pytorch/pytorch/commit/a5ca445f7953711bc90c111c3cad2ec87f02e74a,2023-06-30 18:53:49,,missing,null pointer dereference,crash,add,macro checker,object is not null,,,,
pytorch,https://github.com/pytorch/pytorch/commit/6cc0f1c20c2f87a6c7b0e4abd5419e5007920999,2023-06-13 19:54:45,,missing,null pointer dereference,segmentation fault,add,macro checker,object is not null,,,,
pytorch,https://github.com/pytorch/pytorch/commit/61b9d8fccd3361f21e1f3548c2a9538b62cc7525,2022-08-26 16:03:24,,missing,null pointer dereference,incorrect functionality,add,checker api,object is not null,,,,
pytorch,https://github.com/pytorch/pytorch/commit/4ddf27ba48ba3313a20d3316a8929cd42436ddbc,2020-07-14 20:17:59,,missing,device availability,incorrect functionality,add,macro checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/f441bb1c2088e9ce6684765a75869a72817be39d,2019-11-08 12:43:51,,missing,device availability,incorrect functionality,add,macro checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/e24dee00d40d01bd83b7a08fbcf9cdd51a05b04b,2021-05-17 21:03:19,,missing,device availability,incorrect functionality,add,macro checker,device is available,cuda kernel,,,
pytorch,https://github.com/pytorch/pytorch/commit/c06dfd7c26102ac2436ca25609c92fa794e972ca,2021-08-25 13:25:34,,missing,device availability,incorrect functionality,add,assertion statement,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/d3de37609f2f052a7efb098ab69540458ebaaa6c,2021-06-29 17:20:17,,missing,device availability,incorrect functionality,extend,if checker,device is available,xpu,,,
pytorch,https://github.com/pytorch/pytorch/commit/7bf195f3608e0f28c30ffb6e2fecd74a1d4ee50a,2021-06-23 14:47:50,,missing,device availability,incorrect functionality,add,macro checker,device is available,cuda,,,
pytorch,https://github.com/pytorch/pytorch/commit/15dbc566c57eedbd0245e786912e94586eba0fd2,2021-06-16 15:19:12,,missing,device availability,incorrect functionality,add,macro checker,device is available,device type,,,
pytorch,https://github.com/pytorch/pytorch/commit/232fbd90ff6d93362120d955befeeb297179ddad,2022-10-19 3:13:38,,missing,device availability,incorrect functionality,add,macro checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/a8653f35de02c7fb038e3c184dda6e67a12a39e2,2023-10-04 22:42:57,1,missing,device availability,performance bug,add,macro checker,device is available,tensor device,,,
pytorch,https://github.com/pytorch/pytorch/commit/fd6c993eeaacda7ef6b83f59ad3474aed0d52eaf,2023-10-02 13:34:31,1,missing,device availability,performance bug,add,macro checker,device is available,tensor device,,,
