Library,Advisory Link,Commit,Parent Module,API,Anomaly
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-43q8-3fv7-pr5x,https://github.com/tensorflow/tensorflow/commit/61bf91e768173b001d56923600b40d9a95a04ad5,tf.sparse,tf.sparse.split,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-x4qx-4fjv-hmw6,https://github.com/tensorflow/tensorflow/commit/6f4d3e8139ec724dbbcb40505891c81dd1052c4a,tf.raw_ops,tf.raw_ops.SparseCountSparseOutput,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-3mw4-6rj6-74g5,https://github.com/tensorflow/tensorflow/commit/53b0dd6dc5957652f35964af16b892ec9af4a559,tf.raw_ops,tf.raw_ops.QuantizedMaxPool,Non scalar input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-87v6-crgm-2gfj,https://github.com/tensorflow/tensorflow/commit/ba4e8ac4dc2991e350d5cc407f8598c8d4ee70fb,tf.raw_ops,tf.raw_ops.FractionalMaxPool,Dimension mismatch
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-6445-fm66-fvq2,https://github.com/tensorflow/tensorflow/commit/b51b82fe65ebace4475e3c54eb089c18a4403f1c,tf.raw_ops,tf.raw_ops.AddManySparseToTensorsMap,Dimension mismatch
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rrx2-r989-2c43,https://github.com/tensorflow/tensorflow/commit/1b54cadd19391b60b6fcccd8d076426f7221d5e8,tf.raw_ops,tf.raw_ops.SparseDenseCwiseDiv,Non vector input
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rrx2-r989-2c43,https://github.com/tensorflow/tensorflow/commit/1b54cadd19391b60b6fcccd8d076426f7221d5e8,tf.raw_ops,tf.raw_ops.SparseDenseCwiseDiv,Dimension mismatch
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-98j8-c9q4-r38g,https://github.com/tensorflow/tensorflow/commit/f68fdab93fb7f4ddb4eb438c8fe052753c9413e8,tf.raw_ops,tf.raw_ops.StringNGrams,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-c582-c96p-r5cq,https://github.com/tensorflow/tensorflow/commit/e3749a6d5d1e8d11806d4a2e9cc3123d1a90b75e,tf.raw_ops,tf.raw_ops.ThreadPoolHandle,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m4hf-j54p-p353,https://github.com/tensorflow/tensorflow/commit/08d7b00c0a5a20926363849f611729f53f3ec022,tf.raw_ops,tf.raw_ops.ConcatV2,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-34f9-hjfq-rr8j,https://github.com/tensorflow/tensorflow/commit/58b34c6c8250983948b5a781b426f6aa01fd47af,tf.raw_ops,tf.raw_ops.UnravelIndex,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vjg4-v33c-ggc4,https://github.com/tensorflow/tensorflow/commit/002408c3696b173863228223d535f9de72a101a9,tf.raw_ops,tf.raw_ops.FractionalAvgPoolGrad,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-c6fh-56w7-fvjw,https://github.com/tensorflow/tensorflow/commit/b64638ec5ccaa77b7c1eb90958e3d85ce381f91b,tf.raw_ops,tf.raw_ops.Dequantize,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-23hm-7w47-xw72,https://github.com/tensorflow/tensorflow/commit/23968a8bf65b009120c43b5ebcceaf52dbc9e943,tf.raw_ops,tf.raw_ops.Dequantize,Very large input argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-6gmv-pjp9-p8w8,https://github.com/tensorflow/tensorflow/commit/37c01fb5e25c3d80213060460196406c43d31995,tf.raw_ops,tf.raw_ops.ReverseSequence,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v3f7-j968-4h5f,https://github.com/tensorflow/tensorflow/commit/3218043d6d3a019756607643cf65574fbfef5d7a,tf.raw_ops,tf.raw_ops.AvgPoolGrad,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rg3m-hqc5-344v,https://github.com/tensorflow/tensorflow/commit/67bfd9feeecfb3c61d80f0e46d89c170fbee682b,tf.raw_ops,tf.raw_ops.SparseFillEmptyRows,Dimension mismatch
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cpf4-wx82-gxp6,https://github.com/tensorflow/tensorflow/commit/25d622ffc432acc736b14ca3904177579e733cc6,tf.raw_ops,tf.raw_ops.SplitV,Negative argument
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cpf4-wx82-gxp6,https://github.com/tensorflow/tensorflow/commit/25d622ffc432acc736b14ca3904177579e733cc6,tf.raw_ops,tf.raw_ops.SplitV,More than one value
